Y,X1,X2,X3
3694080,39,320,296
369692064,784,782,603
41805192,66,937,676
60369764,754,301,266
340462755,435,951,823
188616195,333,615,921
17664567,29,733,831
13608180,865,18,874
48522240,624,486,160
725272020,990,986,743
176600459,899,931,211
217183680,972,285,784
32312952,387,84,994
25755575,199,775,167
82334016,116,954,744
87449175,397,445,495
13356660,43,465,668
31993344,106,786,384
17794088,346,52,989
274945440,770,516,692
70741794,731,762,127
3019770,145,89,234
36234480,428,340,249
227147990,505,478,941
70618896,487,318,456
8950662,877,486,21
253925820,537,740,639
11541900,790,487,30
28597074,737,223,174
55391000,175,772,410
32634,126,37,7
8684064,216,46,874
224864640,396,840,676
66738474,913,393,186
25963182,51,966,527
31379976,801,118,332
32499000,314,500,207
51652296,148,621,562
83041574,539,298,517
157907070,509,810,383
526549755,955,569,969
12590118,267,174,271
34542368,476,94,772
76289690,905,373,226
9129120,836,780,14
108475200,729,496,300
45180630,47,990,971
279528975,445,891,705
42812016,874,78,628
22323966,263,258,329
4080648,13,451,696
34136388,698,99,494
191269050,491,490,795
195338104,793,751,328
46198595,145,779,409
106341144,949,966,116
391349952,672,606,961
82508976,792,194,537
205583154,529,487,798
45939648,184,412,606
97330480,845,626,184
41019810,345,538,221
27412450,130,905,233
182048337,263,827,837
14564184,328,57,779
22891440,253,390,232
257857600,440,910,644
140343177,969,169,857
33650253,227,543,273
13372200,92,342,425
41464272,222,296,631
34122000,500,282,242
256105972,958,766,349
93532462,439,614,347
93407610,515,817,222
211021659,603,743,471
107290248,156,937,734
80453520,140,918,626
188391840,390,532,908
11745801,951,23,537
113028531,201,763,737
18534230,26,715,997
128783680,370,596,584
42388480,974,170,256
95069810,530,253,709
165043368,326,738,686
32000040,103,360,863
14166880,91,280,556
109817226,207,874,607
441866839,629,961,731
105993195,385,489,563
391103856,572,702,974
159016176,921,981,176
53801451,531,671,151
34400824,248,163,851
32347395,687,645,73
35088660,181,718,270
240387888,516,806,578
34955130,686,645,79
82687449,151,741,739
228489800,814,350,802
38890530,945,722,57
149891000,350,437,980
357220,674,5,106
7607655,235,327,99
28006344,116,789,306
321097049,749,637,673
15614160,68,534,430
49367388,714,181,382
126350042,647,377,518
587794688,739,832,956
17055996,717,76,313
334514310,887,390,967
88637872,724,964,127
168541780,418,610,661
283589376,714,856,464
38607800,575,308,218
33487264,263,368,346
106054760,727,521,280
207293250,690,305,985
263914560,684,455,848
81144006,879,914,101
54580680,360,847,179
137666790,543,810,313
4736810,83,878,65
9715294,293,281,118
90461280,494,210,872
109222960,748,149,980
274200570,490,873,641
4452156,283,828,19
628739580,892,735,959
18302400,30,620,984
151037460,513,701,420
190357566,746,609,419
1297296,462,351,8
186992400,700,339,788
172605454,761,238,953
117408248,326,716,503
120795136,256,766,616
9588240,965,54,184
273282555,773,481,735
7909284,566,17,822
289950720,878,344,960
4042710,81,434,115
6654680,212,730,43
164308200,710,285,812
11161116,548,219,93
839333265,955,969,907
161243740,956,553,305
96487125,885,245,445
217805544,522,654,638
389513940,573,820,829
12313600,400,32,962
7770620,143,247,220
61671750,595,691,150
16207956,738,278,79
35147775,295,169,705
1122394,26,881,49
24877664,278,238,376
145424580,658,795,278
50766024,326,228,683
187626240,445,976,432
85001136,458,836,222
463464,6,164,471
46851850,334,155,905
314522120,908,737,470
168628950,850,201,987
46811790,617,843,90
349572399,961,453,803
213750300,622,435,790
106872480,792,865,156
56476060,914,334,185
145266256,824,487,362
81731160,266,540,569
79294050,165,579,830
49017920,395,554,224
11998125,79,405,375
283755780,413,990,694
127178190,202,765,823
31351176,402,388,201
240953535,519,543,855
679939134,983,766,903
545762352,934,776,753
117340986,851,686,201
88175376,632,207,674
35917290,971,54,685
338648016,921,536,686
73838358,591,631,198
61094880,330,798,232
510743121,903,833,679
51119124,402,217,586
443520,288,28,55
147412800,870,353,480
13595520,730,96,194
137763990,637,801,270
130080600,260,654,765
123219624,604,843,242
22435200,40,820,684
14515760,460,644,49
38676096,513,992,76
139012468,578,419,574
138125104,284,796,611
82289400,670,230,534
145115400,694,300,697
45920952,242,502,378
20078700,527,60,635
283958388,489,651,892
189690144,878,643,336
123967968,509,516,472
42533682,766,249,223
114697068,582,934,211
373370900,938,475,838
131326920,531,458,540
209761008,596,556,633
111793612,397,623,452
3939840,72,152,360
51021009,351,521,279
183224118,483,802,473
584332840,952,923,665
63368116,766,266,311
43535040,898,480,101
15920360,620,694,37
105399216,923,549,208
1322500,25,529,100
38697120,240,349,462
588133920,957,736,835
4433940,30,322,459
2296800,16,450,319
177633594,981,618,293
11640580,469,34,730
21634590,186,215,541
479605000,500,965,994
8194472,143,494,116
207240120,414,540,927
1072104,262,33,124
17106333,159,271,397
39668237,59,691,973
105569912,553,392,487
147376960,956,328,470
45648162,357,303,422
125748896,784,806,199
12016512,61,912,216
26515456,968,428,64
92887830,238,531,735
405320256,901,576,781
287923200,960,460,652
705600882,882,863,927
9543680,20,512,932
89659752,366,364,673
421110110,743,785,722
3486120,417,40,209
56532600,348,855,190
21692188,67,746,434
258880512,978,352,752
48115200,448,895,120
97921516,577,319,532
55573200,172,900,359
276074730,815,738,459
33392450,895,182,205
928872,57,97,168
188632675,763,775,319
298397970,962,339,915
152232696,216,891,791
248662808,731,421,808
3379056,697,16,303
452592666,601,963,782
10032912,456,193,114
249690560,632,664,595
1222040,548,446,5
142452800,920,790,196
10573046,419,37,682
5120859,123,79,527
12575150,434,305,95
18913660,419,305,148
3594625,193,25,745
14784432,559,232,114
313915308,932,373,903
305100048,786,802,484
224291232,528,498,853
194469990,338,951,605
91901488,331,296,938
357147900,502,930,765
159413760,480,407,816
16640653,151,193,571
308281344,784,768,512
398499920,860,469,988
112343868,196,923,621
52724088,522,228,443
131433000,750,454,386
26979468,114,482,491
2312112,319,453,16
1996787,571,13,269
250065900,404,655,945
94050,9,950,11
120877701,547,619,357
98599644,321,716,429
12926251,767,19,887
345408768,768,761,591
195017634,742,477,551
3591960,148,809,30
235986555,417,665,851
7469058,197,142,267
155538750,925,190,885
131412872,328,521,769
330106554,789,677,618
364280520,933,430,908
1620450,554,45,65
19100424,282,287,236
45856944,582,84,938
391586819,919,949,449
62635032,326,593,324
106965456,514,348,598
16408860,52,545,579
8198120,460,938,19
33059510,895,253,146
42745824,528,206,393
13298936,58,266,862
878080,320,14,196
103125008,686,172,874
185957576,706,322,818
430084152,551,879,888
157657600,904,872,200
50723214,339,158,947
99743150,887,346,325
304939216,628,932,521
682448,8,442,193
465131247,749,653,951
3590400,11,960,340
27587250,225,610,201
250155135,907,405,681
10047321,519,239,81
67592952,644,714,147
7601040,552,30,459
254163195,635,429,933
48135520,940,74,692
726992280,999,904,805
248085033,651,647,589
76541540,212,815,443
36422448,848,103,417
227389470,569,519,770
43508640,460,563,168
3747744,546,624,11
154200150,613,585,430
3597612,76,93,509
69078659,83,877,949
118549332,999,682,174
121145024,992,182,671
5499648,924,496,12
423984064,784,706,766
30839888,916,443,76
286803600,827,816,425
77781210,795,689,142
111784860,902,243,510
323601408,592,657,832
120789936,492,492,499
356524012,971,614,598
151214700,764,725,273
137605600,550,823,304
28297984,128,773,286
1142778,13,637,138
4345206,23,222,851
192991400,235,980,838
3237250,575,10,563
76077758,967,278,283
10924620,222,133,370
123072744,796,706,219
78134688,872,114,786
9512580,994,330,29
61897782,123,646,779
5104200,362,47,300
82125296,599,902,152
4460896,16,667,418
18285696,888,39,528
97560720,930,846,124
61724586,374,813,203
4092100,302,271,50
51351180,254,345,586
182071640,236,862,895
292559904,732,793,504
263784600,857,855,360
11715984,59,504,394
48833876,299,614,266
101673600,476,712,300
45402984,197,594,388
262136061,423,633,979
48778048,718,386,176
437547140,890,802,613
18670080,156,374,320
153640650,925,186,893
85076448,368,727,318
385112000,575,805,832
101701710,726,495,283
26962000,425,104,610
9306752,221,112,376
24952900,860,829,35
251953485,915,283,973
513332820,777,924,715
61455196,803,722,106
113370114,286,687,577
102916352,448,253,908
75274147,251,767,391
417696,12,76,458
1870176,84,484,46
458651545,649,817,865
63129780,293,513,420
7647525,205,829,45
18190656,176,891,116
237178968,663,776,461
254649540,457,740,753
42203484,114,471,786
336295512,603,866,644
98047296,136,969,744
161028768,712,282,802
17579295,27,985,661
12244590,755,34,477
244939356,681,873,412
896004296,982,979,932
4236672,408,88,118
33430704,816,773,53
18840864,552,322,106
14694648,174,86,982
78586690,949,490,169
508254,23,381,58
59558208,284,816,257
191377485,585,669,489
216176256,284,881,864
108207360,186,640,909
337050168,962,582,602
689023712,871,838,944
254542288,691,728,506
16426368,873,96,196
152014212,756,557,361
153218124,786,318,613
174362421,771,251,901
313723680,905,628,552
16475368,371,427,104
115491177,303,513,743
221972211,423,633,829
62555988,204,457,671
279499680,460,873,696
553848375,669,925,895
20037904,284,124,569
50773536,564,242,372
89269365,545,213,769
72356352,489,512,289
10725912,381,552,51
10484301,283,159,233
120304480,160,829,907
3724224,68,112,489
269616006,541,594,839
645816,758,12,71
111471360,560,286,696
80283600,144,725,769
118565718,202,677,867
370530882,762,557,873
23047596,333,286,242
25817792,154,992,169
82017712,674,742,164
15438405,69,365,613
13834800,70,610,324
47136700,718,130,505
271666794,749,991,366
85438464,818,192,544
256732800,752,569,600
346118844,527,916,717
277058000,874,634,500
106031400,475,262,852
15911742,33,707,682
50950819,311,419,391
33482724,204,473,347
60813312,588,512,202
116147320,580,898,223
3963924,306,34,381
21008034,361,318,183
322691250,625,647,798
11673315,855,111,123
133068600,280,531,895
134478701,863,197,791
300292764,587,958,534
21833136,327,156,428
42895312,76,947,596
414913590,945,507,866
40914835,793,607,85
56556830,979,106,545
4755520,386,40,308
18409545,147,207,605
85809780,846,115,882
4066944,16,476,534
1723340,2,995,866
182890008,609,582,516
57080658,519,254,433
98203248,176,741,753
263360384,938,856,328
283882104,594,652,733
156786480,628,380,657
5594360,433,323,40
41091960,568,159,455
226094440,286,841,940
18630296,232,613,131
19816992,804,39,632
376450800,869,475,912
473597124,546,886,979
146276228,434,391,862
9376248,469,136,147
1396100,5,607,460
5242464,8,668,981
141848192,716,328,604
229012902,753,346,879
3139084,212,221,67
25557774,229,534,209
118073160,354,612,545
140231000,268,650,805
229852800,552,600,694
1482880,56,662,40
146164004,206,859,826
5045382,802,9,699
29484819,819,973,37
12116832,152,438,182
54274200,204,850,313
4790988,558,954,9
169922196,786,411,526
166844300,989,964,175
333632688,964,906,382
171321503,311,557,989
425811960,956,490,909
186710292,604,321,963
8142920,167,265,184
231699195,411,735,767
282767980,667,470,902
165163500,765,635,340
90629616,231,452,868
328301760,984,380,878
182859939,799,431,531
13860348,444,589,53
1887780,365,431,12
666032772,956,883,789
33866448,272,847,147
1086288,14,106,732
65182390,863,910,83
236990136,633,883,424
269352,258,58,18
175560,190,4,231
142495350,618,575,401
80158815,513,947,165
66325644,213,337,924
52033260,734,139,510
2399115,235,41,249
5860104,159,542,68
8410016,538,16,977
15030600,820,47,390
123653376,396,697,448
66599424,582,149,768
15406779,591,131,199
66080498,869,394,193
39493440,653,189,320
293599163,979,391,767
45172400,730,104,595
12072720,16,807,935
173918864,742,353,664
71373280,880,107,758
167076000,425,416,945
35792172,636,111,507
379614,838,151,3
122218215,259,489,965
585810,46,15,849
229186904,698,989,332
73152365,131,781,715
253585794,438,721,803
333345,355,1,939
246816302,842,731,401
58520584,239,508,482
37938024,141,404,666
3453030,63,203,270
506429952,768,703,938
15492191,143,131,827
14326890,997,15,958
283582224,657,509,848
399982040,995,461,872
537264,24,574,39
7678440,420,22,831
96573588,489,388,509
214874096,851,734,344
39888450,45,945,938
39209940,123,660,483
62957312,316,352,566
127435360,208,622,985
61880608,314,436,452
13319208,383,92,378
65785720,220,742,403
199143360,416,985,486
354934500,425,898,930
67378850,275,602,407
192102207,587,517,633
75196576,124,637,952
425295360,879,720,672
15513662,41,683,554
19836000,261,160,475
60948096,128,921,517
251609120,938,479,560
315131820,831,670,566
10011300,65,755,204
54363684,813,73,916
303529275,855,483,735
255954560,878,911,320
217577654,497,614,713
193950900,650,822,363
124599552,704,301,588
44037222,179,313,786
222293700,783,668,425
95639060,253,922,410
163195908,811,818,246
240330600,620,531,730
170527032,936,653,279
42579120,970,472,93
1547952,204,542,14
343584784,958,508,706
273154640,496,935,589
45921264,654,524,134
136972350,675,241,842
185619600,337,816,675
397019100,690,706,815
2464602,249,98,101
529264890,795,786,847
46365000,281,220,750
329289456,646,634,804
24190992,618,42,932
50148930,894,65,863
341365728,781,471,928
129115566,843,762,201
119930855,253,839,565
17179533,739,123,189
42186368,112,956,394
27057348,159,174,978
89246880,657,240,566
137834184,229,744,809
27136179,569,63,757
15877300,50,887,358
200337280,704,995,286
35050770,51,930,739
7079220,134,90,587
1087047,489,3,741
4463550,91,75,654
11708640,692,141,120
223141672,824,563,481
77764960,545,392,364
466072000,596,920,850
48682950,515,115,822
13204240,146,323,280
7639020,555,186,74
196102074,591,346,959
76486410,990,849,91
118268280,683,296,585
8975062,283,101,314
97685406,927,546,193
1851930,361,27,190
437229205,833,565,929
133991480,499,392,685
131287905,669,245,801
70208256,113,809,768
141383312,434,947,344
189279636,516,973,377
117211899,651,401,449
263184570,979,290,927
93470436,851,324,339
415044,21,108,183
235875328,611,928,416
34041294,721,387,122
204300544,448,692,659
144280500,195,980,755
23960664,504,689,69
52646250,695,750,101
4873148,47,161,644
519507648,792,724,906
13176000,125,288,366
30515940,546,207,270
44488500,892,375,133
70708440,132,685,782
137239300,820,895,187
427029828,447,964,991
128432736,276,552,843
173259345,259,831,805
130819975,473,481,575
162550856,794,508,403
106016148,791,918,146
402547794,821,782,627
35513748,841,612,69
93372384,304,721,426
717714820,926,895,866
157741056,352,576,778
76391406,447,626,273
101012282,134,953,791
94678272,232,416,981
59396640,493,251,480
2617668,356,43,171
17845568,241,89,832
54810000,580,300,315
309658752,372,897,928
50293380,562,942,95
9299395,301,185,167
131531050,497,335,790
6652988,164,359,113
1161040,10,631,184
325335,345,1,943
87636276,482,546,333
99763650,675,207,714
236457040,415,956,596
720093660,897,890,902
107783040,640,219,769
3929506,49,101,794
17488740,230,551,138
532715040,796,715,936
358318164,876,911,449
154519698,849,901,202
152031681,379,537,747
59748656,517,466,248
363777120,630,956,604
488980800,800,882,693
61114020,206,341,870
117081090,245,834,573
32235450,305,271,390
43159017,303,563,253
144817596,587,396,623
9965025,225,111,399
80490410,847,215,442
325101600,675,519,928
76422528,192,729,546
135360664,508,922,289
397088880,870,472,967
205416372,938,323,678
34631856,774,799,56
74132036,391,556,341
90121896,909,486,204
169013232,474,996,358
260557843,637,449,911
164640762,506,351,927
49372260,276,665,269
12821760,424,48,630
104186880,204,665,768
307732176,508,948,639
8129464,811,716,14
19517685,139,345,407
156340800,450,752,462
3127320,45,73,952
16254864,197,216,382
423103200,568,764,975
106353096,916,523,222
740059908,973,964,789
500988512,766,997,656
98347860,530,366,507
398259603,511,973,801
4560768,111,321,128
130259376,467,298,936
208749366,522,411,973
186604502,406,997,461
84828796,611,569,244
12907840,380,88,386
27974320,766,415,88
80865824,676,152,787
147954240,410,672,537
24050088,621,376,103
14664000,564,26,1000
212190255,349,687,885
9331560,30,588,529
2223104,167,26,512
391266161,979,433,923
1969920,40,76,648
326190000,415,786,1000
135460692,569,306,778
47281200,820,372,155
167580,171,14,70
201141522,807,681,366
24762168,72,787,437
155198400,447,448,775
562826215,805,941,743
90335232,464,936,208
19341888,48,524,769
41849104,142,788,374
16434660,33,740,673
101328059,809,203,617
283410432,992,768,372
125995500,510,270,915
31864965,55,617,939
158934600,990,349,460
162025920,760,423,504
65385168,822,652,122
33175296,204,448,363
23146140,194,615,194
304003980,905,903,372
231850350,675,874,393
42780,23,620,3
302517300,610,813,610
26595000,600,45,985
6162948,711,394,22
86141272,604,854,167
99005340,966,277,370
306951456,776,831,476
187132140,585,437,732
16951914,194,133,657
45714708,806,414,137
5029965,111,57,795
163400544,998,432,379
5660594,823,38,181
554689800,993,931,600
142298226,777,393,466
34057530,806,939,45
1177254,169,86,81
27106992,654,44,942
270504000,520,765,680
234487644,389,764,789
95899992,323,417,712
175542800,464,409,925
84520170,322,921,285
253356686,409,761,814
57305856,664,372,232
6872832,96,152,471
35865180,786,54,845
17600000,275,1000,64
5701696,286,28,712
43271768,604,226,317
64316560,371,440,394
16578048,64,753,344
2981385,11,285,951
50946372,353,211,684
633150,315,67,30
161536032,224,921,783
222272240,596,580,643
7366788,636,429,27
10317764,172,269,223
247445550,877,285,990
5687640,37,630,244
472395252,757,874,714
26800704,966,272,102
273824,172,398,4
380824080,705,728,742
15397200,936,470,35
15284360,646,455,52
141799896,727,504,387
500492520,755,792,837
85515100,340,269,935
21582096,226,276,346
19718144,166,512,232
184195704,406,491,924
420595875,475,937,945
333985680,777,796,540
31139359,493,83,761
271565216,436,689,904
4225958,61,737,94
4250484,707,501,12
17396634,386,543,83
285999020,860,437,761
216472200,740,490,597
3656672,458,16,499
3855936,912,14,302
43419264,557,116,672
23197860,119,684,285
49066440,111,514,860
12687500,58,350,625
4722460,20,389,607
194217842,581,338,989
182382324,629,993,292
932184,968,963,1
34445675,965,649,55
94174509,663,349,407
18442008,36,646,793
28494180,858,738,45
315499740,851,835,444
122900960,520,322,734
52624856,886,958,62
42619958,206,313,661
1965301,377,401,13
50389857,491,189,543
56560266,87,673,966
6256404,854,99,74
16399500,841,375,52
2872800,54,665,80
2554880,64,80,499
88715445,195,721,631
304664256,488,667,936
20509056,937,128,171
71545680,724,810,122
149065191,957,243,641
221151946,727,782,389
662326423,943,737,953
65767695,565,483,241
16779906,477,123,286
33873840,819,752,55
100626939,777,881,147
202940976,581,912,383
50869080,296,855,201
38516478,462,583,143
145161573,831,569,307
328735704,753,968,451
139397238,334,587,711
38361520,67,680,842
578835999,953,933,651
53769975,219,575,427
691658,211,22,149
4178304,156,144,186
2286180,977,10,234
447400278,598,873,857
150431490,423,530,671
189458160,501,464,815
74850116,121,748,827
46454608,233,272,733
36057920,160,802,281
2973300,187,50,318
94113954,209,558,807
7400976,264,131,214
88746195,223,645,617
142179180,803,390,454
147921345,381,543,715
33454512,432,851,91
77984352,772,828,122
32466030,565,314,183
530949512,929,718,796
96903040,760,613,208
3849216,56,192,358
350701821,789,647,687
4744880,35,229,592
59086027,143,469,881
68510064,534,553,232
94030170,461,390,523
116184120,674,845,204
5142650,163,631,50
12305280,78,320,493
21182850,351,850,71
158484,281,6,94
9198728,218,548,77
334300203,771,909,477
42778738,911,443,106
104542332,291,652,551
157884,2,223,354
11006970,169,130,501
155060976,454,798,428
122663730,515,371,642
7278480,110,919,72
198840720,808,390,631
88164531,819,243,443
384706569,489,829,949
8938559,941,161,59
64772631,693,293,319
20507040,376,270,202
8228144,124,313,212
180154000,1000,338,533
3376615,319,29,365
232839840,928,389,645
35400800,400,323,274
711073440,848,847,990
120804096,224,552,977
121744080,628,540,359
47184480,906,120,434
2664792,117,24,949
70954744,196,634,571
52694928,853,429,144
124956168,842,298,498
41664960,414,740,136
577477080,710,918,886
282255540,854,690,479
8702196,298,157,186
199038648,326,996,613
1480920,205,56,129
126995040,360,717,492
22153824,44,777,648
44804718,441,287,354
116004264,597,428,454
16572785,811,335,61
2904568,197,76,194
108953760,710,556,276
62705370,515,446,273
2971530,723,10,411
263146384,856,562,547
614592000,970,792,800
168682416,804,889,236
50521764,389,948,137
629782560,990,914,696
224876800,857,640,410
104526684,978,141,758
15268176,972,561,28
241171560,684,438,805
513586920,620,847,978
60546752,602,898,112
257840856,598,531,812
95139308,718,317,418
38004435,755,357,141
20665920,515,57,704
67515686,599,581,194
41020930,502,295,277
518006428,628,967,853
165390060,418,605,654
189394128,693,899,304
2411520,128,942,20
10520748,63,503,332
340997312,683,538,928
274734768,777,574,616
15430926,133,183,634
42153426,623,179,378
11103885,111,855,117
16236666,306,69,769
87095700,522,355,470
6417383,791,61,133
382287360,547,960,728
431490150,650,861,771
91333998,651,201,698
4317600,514,35,240
45128016,318,657,216
196330,145,677,2
168732872,539,872,359
2468544,516,13,368
210600,25,312,27
150186798,201,822,909
95175058,506,787,239
46108440,642,798,90
5169976,113,76,602
15556395,335,69,673
3773826,18,491,427
258640083,669,431,897
2360059,767,181,17
736442016,916,964,834
561276846,754,773,963
23302080,870,54,496
256516076,491,619,844
132590185,311,937,455
17293556,34,773,658
90739440,603,360,418
233241552,477,732,668
25541808,118,933,232
5395060,55,137,716
253220958,558,993,457
84346691,359,689,341
7996800,32,350,714
167035200,782,300,712
70204176,771,271,336
84183960,840,721,139
321166734,777,466,887
133851237,327,481,851
44794008,987,61,744
64635207,733,119,741
88245696,192,889,517
88842624,338,444,592
1457664,78,584,32
1815597,49,207,179
44272872,267,168,987
1519975,25,163,373
131132440,706,370,502
7009275,455,39,395
479460,915,2,262
7787520,13,768,780
269733750,503,625,858
1657425,11,735,205
82316736,603,158,864
59207838,669,137,646
189614496,636,449,664
305536,22,62,224
98020000,500,754,260
304516800,900,399,848
59333238,207,361,794
35541748,734,682,71
6776217,119,333,171
10056214,17,658,899
52554825,615,211,405
51894864,917,216,262
246883244,358,998,691
660376000,970,736,925
605604100,841,758,950
4415670,301,30,489
104668872,542,231,836
25195104,484,482,108
68485446,453,222,681
275128,2,238,578
4046892,401,87,116
605625228,949,684,933
207729800,680,535,571
11805038,514,193,119
452399584,674,728,922
498069,559,891,1
39074940,90,807,538
208726875,525,837,475
143658420,444,815,397
152223744,912,326,512
154844352,488,936,339
294218128,619,974,488
143530992,869,222,744
199866150,473,939,450
4485000,52,575,150
25646592,384,236,283
218787000,466,500,939
86551776,348,723,344
297678750,974,625,489
